Position,Cost Per Hire,Company Stage,Company Location,Notable Investor(s),Recruiter Name
"Software Engineering Manager, Platform and Applications",$4.0K,Seed,"Berkeley, CA",Y Combinator,View Recruiter
Smart Contract / Blockchain Engineer,$6.6K,Seed,"Detroit, MI",Ambient,View Recruiter
Integration Engineer,$3.2K,Seed,"Berkeley, CA",Y Combinator,View Recruiter
"Senior Software Engineer, Platform Tooling",$23.4K,Series A,"Boston, MA","Atlassian Ventures, Tiger Global Management, Slack Fund",View Recruiter
Founding Software Engineer,$6.9K,Seed,"New York, NY","South Park Commons, Tau Ventures",View Recruiter
Account Executive,$9.0K,Series A,"New York, NY",Fiat Ventures,View Recruiter
People Operations Lead,$3.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Product Designer,$10.5K,Series A,"New York, NY",Scale Ventures,View Recruiter
Smart Contract / Blockchain Engineer,$6.6K,Seed,"Detroit, MI",Ambient,View Recruiter
Enterprise Customer Success Manager,$2.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Software Engineer - Frontend,$7.8K,Series A,"San Francisco, CA","Andreessen Horowitz, Tiger Global",View Recruiter
"Software Engineer, Fullstack (San Francisco)",$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Senior Leadership Experience Designer,$3.0K,Seed,"San Francisco, CA",Reach Capital,View Recruiter
Founding AE,$1.0K,Pre-seed,"Spokane, WA",–,View Recruiter
GTM Associate,$3.5K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
iOS Engineer,$7.3K,Seed,"New York, NY","Sequoia Capital, BoxGroup",View Recruiter
Generalist Engineer (Full Stack),$5.1K,Seed,"Brooklyn, NY",Y Combinator,View Recruiter
Senior Software Backend Engineer,$7.8K,Series A,"San Francisco, CA",Northzone,View Recruiter
Senior iOS Engineer,$17.6K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Senior Technical Customer Support Associate,$7.0K,Series B,"Dallas, TX","Insight Partners, Story Ventures",View Recruiter
Backend Engineer,$1.8K,Seed,"San Francisco, CA",Floodgate,View Recruiter
Full Stack Software Engineer,$18.5K,Series A,"New York, NY",Y Combinator and Craft Ventures,View Recruiter
Senior Software Engineer: Backend Product,$2.8K,Seed,"San Francisco, CA",–,View Recruiter
Enterprise Account Executive,$6.1K,Series B,"San Francisco, CA","Y Combinator, Scale Ventures",View Recruiter
Full Stack Software Engineer,$3.1K,Series A,"San Francisco, CA",Y Combinator and Craft Ventures,View Recruiter
Account Executive,$6.0K,Series A,"San Francisco, CA",Northzone,View Recruiter
General Counsel,$5.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Principal Wealth Manager,$6.0K,Series A,"Oakland, CA","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Software Engineer,$15.7K,Seed,"Glen Cove, NY",Forerunner and Pear VC,View Recruiter
Research Engineer,$0.6K,Seed,"San Francisco, CA",–,View Recruiter
"Software Engineer, Fullstack (San Francisco)",$6.8K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Clinical Trial Associate,$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
"Research Associate, Antibody + New Modalities",$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Customer Support Specialist,$5.0K,Series A,"New York, NY","Bessemer, Coatue, Bedrock, Base10",View Recruiter
Education Analyst,$0.9K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Associate - Strategy and Operations,$3.2K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Smart Contract / Blockchain Engineer,$9.9K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
